;text;sentiment
0;Last session of the day  http://twitpic.com/67ezh;neutral
1; Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).;positive
2;Recession hit Veronique Branquinho, she has to quit her company, such a shame!;negative
3; happy bday!;positive
4; http://twitpic.com/4w75p - I like it!!;positive
5; that`s great!! weee!! visitors!;positive
6;I THINK EVERYONE HATES ME ON HERE   lol;negative
7; soooooo wish i could, but im in school and myspace is completely blocked;negative
8; and within a short time of the last clue all of them;neutral
9; What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!;neutral
10;My bike was put on hold...should have known that.... argh total bummer;negative
11; I checked.  We didn`t win;neutral
12; .. and you`re on twitter! Did the tavern bore you that much?;neutral
13;I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics;negative
14;Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(;negative
15;So hot today =_=  don`t like it and i hate my new timetable, having such a bad week;negative
16; Miss you;negative
17;Cramps . . .;negative
18; you guys didn`t say hi or answer my questions yesterday  but nice songs.;positive
19;I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.;neutral
20;Stupid storm. No river for us tonight;negative
21;My dead grandpa pays more attention to me than you do;negative
22;... need retail therapy, bad. AHHH.....gimme money geebus;negative
23;about to go to sleep;neutral
24; you are lame  go make me breakfast!!;negative
25; thats so cool;positive
26;hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime);neutral
27;Huh, another ScarePoint coding Sunday;neutral
28; look who I found just for you  --->  http://twitter.com/DJT2009;positive
29;No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day;negative
30; guess that depends on if you want to be on the jury;neutral
31;resorted to eating Mickey Ds ALONE.;neutral
32;There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world;neutral
33; did he ask for your Twitter ID? Your sun sign?;neutral
34; where`d you go!;neutral
35;Watching Body of Lies...good film;positive
36;Happy mothers day mumm  xoxo;positive
37;So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day;neutral
38; I`m sorry  at least it`s Friday?;negative
39;feels sorry every time I`m printing out, I use like 200 new papers;negative
40; 4n? ma rog  never heard of it  esti beat acum? u tweet too much;negative
41; I always forget SOMETHING when I travel. I am at Newark airport.;neutral
42;Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing;neutral
43;i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.;neutral
44; Hi there.  I agree!  Small children should be running about happy, not breaking down in tears;positive
45;  Hope ur havin fun in da club;positive
46;i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...;neutral
47;thinks SG is wonderful;positive
48;  im really sorry i know wallah how u feel this life is shittttttttt;negative
49;Not happy;negative
50;Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show;neutral
51; I`ll oscillate from one to the other.;neutral
52;I`m so very tired...and have insomnia.;negative
53; Thanks Ennio;positive
54; you should totally come get me and bring me to kelslaws house with you.;neutral
55; You seem nice, you`re generous and you know your stuff;positive
56; U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR;neutral
57;almost got a kitty yesterday...but it didn`t work out;neutral
58;reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.;neutral
59;   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!;positive
60; i still dont know what we would do though;neutral
61;_xo   dang it, so its not certain ? ? ? are you okay?;neutral
62;Change of plans. I am staying in Brandon.  No Papaya Salad for me.;neutral
63;Dear rain, you suck. Now I gotta change my plans for tonight;negative
64;at starbucks with my love. eff school. i have work later too.;neutral
